Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Strandmarksvej 32, 6.000.000, 04-02-2015, Alm. Salg, 37.974, 5, 8240, Villa, 158, 1986
Helenelyst 13, 1.532.500, 04-02-2015, Fam. Salg, 8.513, 5, 8220, Villa, 180, 2005
Dr.Holsts Vej 10, 2.850.000, 03-02-2015, Alm. Salg, 26.388, 4, 8230, Villa, 108, 1930, -5 %
Marselisvej 19, 9.100.000, 03-02-2015, Alm. Salg, 30.639, 9, 8000, Villa, 297, 1909, -8 %
Bakkedraget 18, 8.995.000, 03-02-2015, Alm. Salg, 63.345, 6, 8270, Villa, 142, 2005, 0 %
Stavtrupvej 5C, 2.900.000, 02-02-2015, Alm. Salg, 17.901, 5, 8260, Villa, 162, 2007, -6 %
Olaf Rudes Vej 6, 6.100.000, 02-02-2015, Alm. Salg, 38.125, 7, 8270, Villa, 160, 1919, -3 %
Strandmarksvej 22, 4.000.000, 01-02-2015, Andet, 16.460, 7, 8240, Villa, 243, 1984
Kalmargade 5, 1.517.212, 31-01-2015, Fam. Salg, 19.451, 3, 8200, Villa, 78, 1934
Brabrand Skovvej 16, 3.128.000, 30-01-2015, Alm. Salg, 29.509, 4, 8220, Villa, 106, 1962, 1 %
Tulipanvej 2, 3.345.000, 30-01-2015, Alm. Salg, 25.534, 4, 8240, Villa, 131, 1954, -1 %
Skæring Egager 1, 3.100.000, 29-01-2015, Alm. Salg, 24.218, 4, 8250, Villa, 128, 2000, -3 %
Nagelsvej 2, 5.550.000, 29-01-2015, Alm. Salg, 32.647, 6, 8270, Villa, 170, 1912, -3 %
Dådyrvej 6, 4.750.000, 29-01-2015, Alm. Salg, 26.388, 6, 8270, Villa, 180, 1960, -5 %
Damgårdsvej 21, 3.298.000, 29-01-2015, Alm. Salg, 28.929, 4, 8260, Villa, 114, 1940, -3 %
Bülowsgade 25B, 3.475.000, 28-01-2015, Alm. Salg, 43.987, 4, 8000, Villa, 79, 1886, -3 %
Søtoften 4, 5.250.000, 28-01-2015, Alm. Salg, 31.250, 7, 8250, Villa, 168, 1966
Carl Jensens Vej 5, 5.650.000, 27-01-2015, Alm. Salg, 34.242, 5, 8260, Villa, 165, 1938, -3 %
St.Blichers Vej 39, 2.600.000, 27-01-2015, Alm. Salg, 19.847, 6, 8230, Villa, 131, 1956, -10 %
Solbjergvej 16, 3.440.000, 26-01-2015, Fam. Salg, 27.967, 4, 8260, Villa, 123, 1915
Martsvej 15, 1.998.000, 26-01-2015, Alm. Salg, 16.512, 4, 8210, Villa, 121, 1970, 0 %
Skejbytoften 12, 3.600.000, 26-01-2015, Alm. Salg, 23.225, 6, 8200, Villa, 155, 1998
Hirsevangen 11, 3.536.000, 26-01-2015, Alm. Salg, 24.901, 6, 8200, Villa, 142, 1954, -7 %
Bredkær Parkvej 26, 1.500.000, 23-01-2015, Alm. Salg, 8.670, 7, 8250, Villa, 173, 1969
Lykkensdalsvej 47, 2.620.000, 23-01-2015, Alm. Salg, 17.583, 6, 8220, Villa, 149, 1970, -3 %
Rampen 5, 2.187.500, 23-01-2015, Alm. Salg, 16.698, 3, 8240, Villa, 131, 1902
J.P.Larsens Vej 56, 1.600.000, 23-01-2015, Alm. Salg, 16.494, 4, 8220, Villa, 97, 1960, -9 %
Skjoldsgade 15, 4.150.000, 22-01-2015, Alm. Salg, 33.467, 5, 8260, Villa, 124, 1913, -6 %
M.C.Holsts Vej 6A, 5.550.000, 22-01-2015, Alm. Salg, 31.005, 6, 8270, Villa, 179, 2005, -5 %
J.L.Heibergs Vej 46, 4.700.000, 21-01-2015, Alm. Salg, 27.647, 8, 8230, Villa, 170, 1952, -2 %
Møller Meyers Vej 12, 3.600.000, 21-01-2015, Alm. Salg, 19.047, 5, 8240, Villa, 189, 1934, -5 %
Sigridsvej 10, 2.100.000, 21-01-2015, Alm. Salg, 15.909, 5, 8220, Villa, 132, 1963, -4 %
Vibyvej 62, 2.445.000, 21-01-2015, Alm. Salg, 24.696, 5, 8230, Villa, 99, 1944, -6 %
Flakvej 32, 8.600.000, 20-01-2015, Alm. Salg, 28.762, 10, 8240, Villa, 299, 1932
Perlevej 6, 3.005.000, 20-01-2015, Alm. Salg, 18.549, 7, 8250, Villa, 162, 1968, -7 %
Neptunvej 10, 2.800.000, 20-01-2015, Alm. Salg, 31.111, 4, 8270, Villa, 90, 1959, 0 %
Strandvænget 1, 15.750.000, 20-01-2015, Alm. Salg, 47.727, 9, 8240, Villa, 330, 1914, -10 %
Rensdyrvej 10, 4.555.000, 19-01-2015, Alm. Salg, 30.777, 6, 8270, Villa, 148, 1959, -8 %
Jacob Adelborgs Alle 44, 6.100.000, 19-01-2015, Alm. Salg, 40.131, 5, 8240, Villa, 152, 1976
Sophus Bauditz Vej 16, 4.825.000, 19-01-2015, Alm. Salg, 17.673, 5, 8230, Villa, 273, 1953
Henrik Hertz Vej 40, 3.425.000, 18-01-2015, Alm. Salg, 33.910, 4, 8230, Villa, 101, 1939, -2 %
Niels W.Gades Vej 19, 12.000.000, 18-01-2015, Alm. Salg, 33.057, 7, 8000, Villa, 363, 1961
Skæring Sandager 89, 3.325.000, 16-01-2015, Alm. Salg, 23.581, 4, 8250, Villa, 141, 1987, -5 %
Grøndalsvej 23, 1.445.000, 16-01-2015, Alm. Salg, 7.487, 6, 8260, Villa, 193, 1972
Kystparkvej 10, 3.295.000, 16-01-2015, Alm. Salg, 20.593, 6, 8250, Villa, 160, 1960, -3 %
Sejrs Alle 12, 5.900.000, 16-01-2015, Alm. Salg, 28.921, 6, 8240, Villa, 204, 1930, -8 %
Bymandsvej 32B, 1.300.000, 16-01-2015, Andet, 15.476, 3, 8200, Villa, 84, 1870
Helenelyst 97, 3.500.000, 16-01-2015, Alm. Salg, 20.588, 5, 8220, Villa, 170, 2005, -3 %
Skæring Skolevej 247, 3.100.000, 15-01-2015, Alm. Salg, 20.805, 6, 8250, Villa, 149, 1981, -3 %
Onsholtgårdsvej 50, 3.700.000, 15-01-2015, Alm. Salg, 22.023, 5, 8260, Villa, 168, 2011, -1 %
H.C.Andersens Vej 60, 3.750.000, 14-01-2015, Alm. Salg, 24.350, 6, 8230, Villa, 154, 1935, -6 %
Degnebakken 27, 695.000, 14-01-2015, Fam. Salg, 5.650, 8, 8210, Villa, 123, 1957
Skovagervej 3, 4.125.000, 13-01-2015, Alm. Salg, 30.555, 4, 8240, Villa, 135, 1937, -4 %
Bjerringsvej 8, 2.950.000, 13-01-2015, Alm. Salg, 28.095, 3, 8220, Villa, 105, 1964, -8 %
Selmersvej 5, 3.250.000, 13-01-2015, Alm. Salg, 15.625, 6, 8260, Villa, 208, 1970, -1 %
Enebærvej 63, 2.925.000, 12-01-2015, Alm. Salg, 17.205, 6, 8240, Villa, 170, 1957, -2 %
Teglgårdsvej 2, 1.050.000, 12-01-2015, Andet, 12.209, 4, 8270, Villa, 86, 1958
Vølundsvej 7, 4.940.000, 09-01-2015, Alm. Salg, 28.554, 7, 8230, Villa, 173, 1924, -1 %
Carl Jensens Vej 9, 2.000.000, 09-01-2015, Andet, 16.000, 6, 8260, Villa, 125, 1936
Jens Søndergaards Vej 4, 2.198.000, 09-01-2015, Alm. Salg, 15.812, 6, 8270, Villa, 139, 1961, 0 %
Hørhavevej 58B, 3.550.000, 08-01-2015, Fam. Salg, 14.489, 5, 8270, Villa, 245, 1992
Solhøjvej 36, 2.525.000, 08-01-2015, Fam. Salg, 20.867, 4, 8210, Villa, 121, 1960
Strandhusvej 35, 3.100.000, 08-01-2015, Fam. Salg, 88.571, 1, 8250, Villa, 35, 2009
Lykkenshøj 55, 2.650.000, 07-01-2015, Alm. Salg, 16.358, 5, 8220, Villa, 162, 1978
Provstebakken 34, 2.375.000, 07-01-2015, Andet, 12.179, 8, 8210, Villa, 195, 1948
Jyllands Alle 90, 1.700.000, 05-01-2015, Alm. Salg, 14.285, 5, 8270, Villa, 119, 1954
Edisonsvej 31, 3.150.000, 05-01-2015, Alm. Salg, 21.140, 3, 8260, Villa, 149, 1980, -4 %
Annekærvej 17, 2.250.000, 05-01-2015, Alm. Salg, 13.719, 5, 8250, Villa, 164, 1886, 2 %
Espedalen 6, 2.350.000, 02-01-2015, Alm. Salg, 16.906, 6, 8240, Villa, 139, 1966, -6 %
Bakkehegnet 5, 2.990.000, 29-12-2014, Alm. Salg, 29.029, 4, 8210, Villa, 103, 1922, -3 %
Oehlenschlægersvej 17, 3.225.000, 29-12-2014, Alm. Salg, 33.947, 4, 8230, Villa, 95, 1960, -5 %
Vardøgade 1, 1.978.422, 29-12-2014, Andet, 16.350, 5, 8200, Villa, 121, 1927
Søskrænten 29, 5.495.000, 23-12-2014, Andet, 21.216, 8, 8260, Villa, 259, 1870
Klokkerbakken 86, 3.375.000, 23-12-2014, Alm. Salg, 23.275, 4, 8210, Villa, 145, 1970, -4 %
Skåde Søpark 23, 9.000.000, 23-12-2014, Alm. Salg, 35.856, 8, 8270, Villa, 251, 2002, -10 %
Klokkerbakken 85, 2.800.000, 22-12-2014, Alm. Salg, 20.000, 5, 8210, Villa, 140, 1967, -7 %
Hellerupvej 9, 7.000.000, 22-12-2014, Alm. Salg, 33.980, 7, 8000, Villa, 206, 1934
Nordre Strandvej 111A, 2.265.000, 21-12-2014, Alm. Salg, 31.027, 3, 8240, Villa, 73, 1985, -2 %
Arnakvej 34, 2.500.000, 19-12-2014, Fam. Salg, 8.802, 8, 8270, Villa, 284, 1969, -60 %
Ystadgade 7, 1.689.375, 19-12-2014, Fam. Salg, 10.969, 5, 8200, Villa, 154, 1954
Haslevej 71, 3.250.000, 19-12-2014, Alm. Salg, 32.828, 5, 8230, Villa, 99, 1950, -11 %
Åtoften 3, 2.995.000, 19-12-2014, Alm. Salg, 18.602, 6, 8250, Villa, 161, 2002, 0 %
Alsvej 44, 3.300.000, 19-12-2014, Alm. Salg, 22.916, 6, 8240, Villa, 144, 1952, -6 %
Mejlvej 9, 3.200.000, 19-12-2014, Alm. Salg, 25.396, 4, 8240, Villa, 126, 1960, -9 %
Vermundsgade 20, 4.700.000, 18-12-2014, Alm. Salg, 37.600, 3, 8260, Villa, 125, 1950, -4 %
Skt.Pauls Gade 50, 5.495.000, 18-12-2014, Alm. Salg, 51.839, 5, 8000, Villa, 106, 1895
Sigridsvej 38, 1.731.000, 18-12-2014, Fam. Salg, 11.313, 5, 8220, Villa, 153, 1964
Dråbyvej 14, 4.500.000, 18-12-2014, Alm. Salg, 28.301, 5, 8240, Villa, 159, 1965, -5 %
Flakvej 8, 4.900.000, 17-12-2014, Alm. Salg, 31.612, 6, 8240, Villa, 155, 1934, -4 %
Stenkløvervej 20, 2.975.000, 17-12-2014, Alm. Salg, 28.066, 3, 8240, Villa, 106, 1957
Trondhjemsgade 14, 3.525.000, 16-12-2014, Alm. Salg, 28.893, 4, 8200, Villa, 122, 1950, -2 %
Bakkekammen 10, 850.000, 16-12-2014, Fam. Salg, 6.343, 5, 8240, Villa, 134, 1958
Skovbrynet 20, 9.000.000, 16-12-2014, Alm. Salg, 43.269, 6, 8000, Villa, 208, 1922, 1 %
Hirsevangen 10, 3.790.000, 16-12-2014, Alm. Salg, 27.071, 5, 8200, Villa, 140, 1951, -5 %
Nedergårdsvej 8, 50.000, 16-12-2014, Alm. Salg, 357, 5, 8200, Villa, 140, 1922
Gammel Holmevej 27, 3.445.000, 15-12-2014, Alm. Salg, 25.518, 5, 8270, Villa, 135, 1951, -1 %
Bakkefaldet 33, 3.660.000, 14-12-2014, Alm. Salg, 23.312, 6, 8210, Villa, 157, 1954, -2 %
Ludvig Holbergs Vej 32, 1.782.500, 12-12-2014, Fam. Salg, 7.993, 5, 8230, Villa, 223, 1971
Elbækvej 3, 6.100.000, 12-12-2014, Alm. Salg, 35.672, 5, 8240, Villa, 171, 1933, -6 %
Tousvej 82, 2.825.000, 12-12-2014, Alm. Salg, 15.353, 4, 8230, Villa, 184, 1953, -13 %
Ved Stranden 107, 11.000.000, 11-12-2014, Alm. Salg, 58.201, 5, 8250, Villa, 189, 2009, -4 %
