Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Nedergårdsvej 45, 1.400.000, 12-06-2014, Fam. Salg, 6.060, 7, 8200, Villa, 231, 1883
Langelandsgade 127, 3.527.500, 12-06-2014, Fam. Salg, 17.549, 8, 8000, Villa, 201, 1910
Lauge Kochs Vej 8, 1.325.500, 12-06-2014, Andet, 10.864, 7, 8200, Villa, 122, 1935
Vedbendvej 3, 9.500.000, 12-06-2014, Alm. Salg, 37.698, 8, 8240, Villa, 252, 1950
Nellikevej 28, 1.850.000, 12-06-2014, Alm. Salg, 14.230, 5, 8240, Villa, 130, 1960, -12 %
Jernaldervej 326, 2.125.000, 12-06-2014, Alm. Salg, 16.865, 4, 8210, Villa, 126, 1983, -8 %
Egelundsvej 6, 4.950.000, 12-06-2014, Alm. Salg, 37.218, 5, 8240, Villa, 133, 1952, -7 %
Nordre Strandvej 42, 3.800.000, 12-06-2014, Alm. Salg, 30.894, 6, 8240, Villa, 123, 1928, -9 %
Højagervej 6C, 5.000.000, 12-06-2014, Alm. Salg, 26.595, 5, 8240, Villa, 188, 1964, -5 %
Engmarksvej 13A, 3.300.000, 12-06-2014, Alm. Salg, 23.741, 5, 8240, Villa, 139, 1972, -6 %
Lykkensdalsvej 59, 2.550.000, 12-06-2014, Alm. Salg, 17.957, 5, 8220, Villa, 142, 1971, -4 %
Tromsøgade 16, 2.995.000, 11-06-2014, Alm. Salg, 23.960, 5, 8200, Villa, 125, 1966, 0 %
Hørhavevej 55, 7.625.000, 11-06-2014, Alm. Salg, 46.779, 6, 8270, Villa, 163, 1956, -3 %
Ormslevvej 354, 2.505.000, 11-06-2014, Alm. Salg, 8.946, 8, 8260, Villa, 280, 1920, -9 %
Siriusvej 6A, 4.100.000, 11-06-2014, Alm. Salg, 18.385, 6, 8270, Villa, 223, 1973, -8 %
Michael Anchers Vej 15A, 2.350.000, 11-06-2014, Alm. Salg, 22.815, 5, 8270, Villa, 103, 1947, 2 %
Ørnegårdsvej 22, 1.500.000, 11-06-2014, Alm. Salg, 8.875, 4, 8270, Villa, 169, 2015, 0 %
Elhøjvej 4, 2.550.000, 11-06-2014, Alm. Salg, 17.465, 4, 8210, Villa, 146, 1959, -7 %
Rugbjergvej 131, 3.148.000, 10-06-2014, Alm. Salg, 19.798, 6, 8260, Villa, 159, 1973, 0 %
Engdalsvej 81, 2.498.000, 10-06-2014, Alm. Salg, 19.669, 4, 8220, Villa, 127, 1948, 0 %
Kresten Kolds Vej 12, 3.325.000, 10-06-2014, Alm. Salg, 36.538, 3, 8230, Villa, 91, 1954, -2 %
Skejbybakkevej 38, 2.575.000, 10-06-2014, Alm. Salg, 21.458, 6, 8200, Villa, 120, 1948, -1 %
Ellebjergvej 9, 3.175.000, 06-06-2014, Alm. Salg, 23.175, 4, 8240, Villa, 137, 1960, -9 %
Engdalsvej 78C, 2.600.000, 06-06-2014, Alm. Salg, 14.942, 6, 8220, Villa, 174, 1964, -5 %
Vorbjergbakken 10, 2.150.000, 06-06-2014, Alm. Salg, 21.938, 4, 8240, Villa, 98, 1965, -2 %
Nordvestpassagen 79, 3.825.000, 06-06-2014, Alm. Salg, 25.500, 6, 8200, Villa, 150, 1953, -1 %
Hans Tausens Vej 27, 2.300.000, 06-06-2014, Alm. Salg, 18.253, 5, 8260, Villa, 126, 1956, -8 %
Engblommevej 37, 2.550.000, 05-06-2014, Alm. Salg, 19.767, 6, 8240, Villa, 129, 1985, -7 %
Prins Knuds Vej 10, 4.900.000, 05-06-2014, Alm. Salg, 24.378, 8, 8240, Villa, 201, 1930, -2 %
Dybkjærvej 26, 2.560.000, 04-06-2014, Alm. Salg, 22.857, 3, 8200, Villa, 112, 1938, -1 %
Kristtornvej 12, 1.955.000, 04-06-2014, Fam. Salg, 15.393, 4, 8200, Villa, 127, 1957
Chr.Winthers Vej 7, 2.600.000, 04-06-2014, Alm. Salg, 22.608, 5, 8230, Villa, 115, 1929, -7 %
Enebærvej 59, 2.900.000, 03-06-2014, Alm. Salg, 18.831, 4, 8240, Villa, 154, 1958, -11 %
Nagelsvej 10, 3.398.000, 03-06-2014, Alm. Salg, 53.093, 3, 8270, Villa, 64, 1907, 0 %
Novembervej 25, 2.575.000, 03-06-2014, Alm. Salg, 22.787, 4, 8210, Villa, 113, 1969, 0 %
Bynkevej 14, 2.900.000, 03-06-2014, Alm. Salg, 22.137, 5, 8240, Villa, 131, 1950, -3 %
Søtoften 7, 3.498.000, 02-06-2014, Alm. Salg, 28.672, 4, 8250, Villa, 122, 1967, 0 %
Skådevej 1, 3.498.000, 02-06-2014, Alm. Salg, 27.328, 5, 8270, Villa, 128, 1900
Frodesgade 15, 4.195.000, 02-06-2014, Alm. Salg, 33.830, 5, 8260, Villa, 124, 1961, 0 %
Rugbjergvej 36, 3.225.000, 31-05-2014, Alm. Salg, 19.427, 5, 8260, Villa, 166, 1970
Venusvej 2, 2.900.000, 30-05-2014, Alm. Salg, 15.934, 8, 8270, Villa, 182, 1955, -9 %
Haslegårdsvænget 19, 2.755.000, 30-05-2014, Alm. Salg, 21.356, 5, 8210, Villa, 129, 1968, -5 %
Fortevej 94B, 5.495.000, 29-05-2014, Alm. Salg, 43.611, 3, 8240, Villa, 126, 1924, 0 %
Lyngsiesvej 12, 139.925, 28-05-2014, Alm. Salg, 1.520, 4, 8210, Villa, 92, 1959
Blomstervangen 4, 3.100.000, 28-05-2014, Alm. Salg, 19.745, 5, 8250, Villa, 157, 1972, -6 %
Holmevangen 17, 2.870.000, 28-05-2014, Alm. Salg, 22.598, 4, 8270, Villa, 127, 1956, -4 %
Pallisvej 33, 2.525.000, 28-05-2014, Alm. Salg, 14.595, 6, 8220, Villa, 173, 1968, -3 %
Skæring Hedevej 112, 3.150.000, 27-05-2014, Alm. Salg, 20.860, 6, 8250, Villa, 151, 1976, -4 %
Elsdyrvænget 48, 7.500.000, 27-05-2014, Alm. Salg, 41.208, 5, 8270, Villa, 182, 1998, -16 %
Enghavevej 2A, 1.422.761, 27-05-2014, Andet, 12.057, 5, 8260, Villa, 118, 1948
Roald Amundsens Vej 23, 4.900.000, 27-05-2014, Alm. Salg, 33.333, 4, 8200, Villa, 147, 1938, -2 %
